strand,ring,x_m,y_m,I_amplitude_A,I_phase_deg
4.000000000000000000e+01,3.000000000000000000e+00,-6.851089286654301735e-04,-3.955478243892021932e-04,3.494218637591098298e-02,1.347242534407700987e+02
4.100000000000000000e+01,3.000000000000000000e+00,6.851089286654301735e-04,3.955478243892021932e-04,3.494173114283970899e-02,1.347241768579758343e+02
4.200000000000000000e+01,3.000000000000000000e+00,-6.851089286654301735e-04,3.955478243892021932e-04,3.494223829808444648e-02,1.347246271879628239e+02
4.300000000000000000e+01,4.000000000000000000e+00,-7.992937501096684634e-04,1.977739121946010966e-04,4.322096158532885007e-02,1.367887388564959963e+02
4.400000000000000000e+01,4.000000000000000000e+00,-7.992937501096684634e-04,-1.977739121946010966e-04,4.322077300042979214e-02,1.367886389409232208e+02
4.500000000000000000e+01,4.000000000000000000e+00,2.283696428884767155e-04,7.910956487784043863e-04,4.321962261057764321e-02,1.367884307563760444e+02
4.600000000000000000e+01,4.000000000000000000e+00,2.283696428884767155e-04,-7.910956487784043863e-04,4.321964915150017933e-02,1.367883725208873500e+02
4.700000000000000000e+01,4.000000000000000000e+00,-2.283696428884767155e-04,-7.910956487784043863e-04,4.321955368188506313e-02,1.367881573043424623e+02
4.800000000000000000e+01,4.000000000000000000e+00,-2.283696428884767155e-04,7.910956487784043863e-04,4.321973937786335873e-02,1.367883256423949376e+02
4.900000000000000000e+01,4.000000000000000000e+00,-5.709241072211917751e-04,-5.933217365838033440e-04,4.321980153996689278e-02,1.367884479910683524e+02
5.000000000000000000e+01,4.000000000000000000e+00,-5.709241072211917751e-04,5.933217365838033440e-04,4.321982099114143189e-02,1.367886718461919315e+02
5.100000000000000000e+01,4.000000000000000000e+00,5.709241072211917751e-04,5.933217365838033440e-04,4.321937964516080893e-02,1.367886608864471611e+02
5.200000000000000000e+01,4.000000000000000000e+00,7.992937501096685719e-04,-1.977739121946010966e-04,4.321989885705243561e-02,1.367883176845356843e+02
5.300000000000000000e+01,4.000000000000000000e+00,7.992937501096685719e-04,1.977739121946010966e-04,4.321976905811707181e-02,1.367883395421524426e+02
5.400000000000000000e+01,4.000000000000000000e+00,5.709241072211917751e-04,-5.933217365838033440e-04,4.321950914516790171e-02,1.367887527858898693e+02
5.500000000000000000e+01,4.000000000000000000e+00,9.134785715539068618e-04,0.000000000000000000e+00,7.489091585112706007e-02,1.193411785592947183e+02
