r_m,J_amplitude_A_per_m2,J_phase_deg
6.643869076697606600e-05,2.806111079775010585e+05,4.393509645877040981e+01
6.692721055202735612e-05,2.806323202977415640e+05,4.402027716397896029e+01
6.741573033707864624e-05,2.806540008502395940e+05,4.410607317573727926e+01
6.790425012212994991e-05,2.806761564241157612e+05,4.419248417581827937e+01
6.839276990718124003e-05,2.806987938547529629e+05,4.427950983917527594e+01
6.888128969223253014e-05,2.807219200236852048e+05,4.436714983385161304e+01
6.936980947728383382e-05,2.807455418584837462e+05,4.445540382089002662e+01
6.985832926233512393e-05,2.807696663326406269e+05,4.454427145424175194e+01
7.034684904738641405e-05,2.807943004654503311e+05,4.463375238067532536e+01
7.083536883243771772e-05,2.808194513218882494e+05,4.472384623968529382e+01
7.132388861748900784e-05,2.808451260124881519e+05,4.481455266340050514e+01
7.181240840254029796e-05,2.808713316932157613e+05,4.490587127649237686e+01
7.230092818759160163e-05,2.808980755653404631e+05,4.499780169608283131e+01
7.278944797264289175e-05,2.809253648753048619e+05,4.509034353165214526e+01
7.327796775769418187e-05,2.809532069145910209e+05,4.518349638494655807e+01
7.376648754274548554e-05,2.809816090195850120e+05,4.527725984988581587e+01
7.425500732779677566e-05,2.810105785714382655e+05,4.537163351247046705e+01
7.474352711284806578e-05,2.810401229959267657e+05,4.546661695068920750e+01
7.523204689789936945e-05,2.810702497633072198e+05,4.556220973442588473e+01
7.572056668295065957e-05,2.811009663881709566e+05,4.565841142536667974e+01
7.620908646800194969e-05,2.811322804292946821e+05,4.575522157690700453e+01
7.669760625305325336e-05,2.811641994894894306e+05,4.585263973405844240e+01
7.718612603810454348e-05,2.811967312154456158e+05,4.595066543335564546e+01
7.767464582315583360e-05,2.812298832975762780e+05,4.604929820276318253e+01
7.816316560820712371e-05,2.812636634698571288e+05,4.614853756158242248e+01
7.865168539325842739e-05,2.812980795096636866e+05,4.624838302035837501e+01
7.914020517830971750e-05,2.813331392376064323e+05,4.634883408078660239e+01
7.962872496336100762e-05,2.813688505173618905e+05,4.644989023562018104e+01
8.011724474841231129e-05,2.814052212555012666e+05,4.655155096857669861e+01
8.060576453346360141e-05,2.814422594013173366e+05,4.665381575424535754e+01
8.109428431851489153e-05,2.814799729466469144e+05,4.675668405799418537e+01
8.158280410356619520e-05,2.815183699256906402e+05,4.686015533587736570e+01
8.207132388861748532e-05,2.815574584148307331e+05,4.696422903454267583e+01
8.255984367366877544e-05,2.815972465324449586e+05,4.706890459113914460e+01
8.304836345872007911e-05,2.816377424387178035e+05,4.717418143322481683e+01
8.353688324377136923e-05,2.816789543354486814e+05,4.728005897867482332e+01
8.402540302882265935e-05,2.817208904658569954e+05,4.738653663558955031e+01
8.451392281387396302e-05,2.817635591143844067e+05,4.749361380220311446e+01
8.500244259892525314e-05,2.818069686064936686e+05,4.760128986679212915e+01
8.549096238397654326e-05,2.818511273084650165e+05,4.770956420758464844e+01
8.597948216902784693e-05,2.818960436271881917e+05,4.781843619266952317e+01
8.646800195407913705e-05,2.819417260099529522e+05,4.792790517990602694e+01
8.695652173913042716e-05,2.819881829442350427e+05,4.803797051683382335e+01
8.744504152418173084e-05,2.820354229574796045e+05,4.814863154058330252e+01
8.793356130923302095e-05,2.820834546168818488e+05,4.825988757778633698e+01
8.842208109428431107e-05,2.821322865291635389e+05,4.837173794448741404e+01
8.891060087933561474e-05,2.821819273403470288e+05,4.848418194605520881e+01
8.939912066438690486e-05,2.822323857355258660e+05,4.859721887709461186e+01
8.988764044943819498e-05,2.822836704386316123e+05,4.871084802135926139e+01
9.037616023448949865e-05,2.823357902121986263e+05,4.882506865166451604e+01
9.086468001954078877e-05,2.823887538571244804e+05,4.893988002980101726e+01
9.135319980459207889e-05,2.824425702124272357e+05,4.905528140644875634e+01
9.184171958964338256e-05,2.824972481549998629e+05,4.917127202109175244e+01
9.233023937469467268e-05,2.825527965993612888e+05,4.928785110193325636e+01
9.281875915974596280e-05,2.826092244974034838e+05,4.940501786581163657e+01
9.330727894479726647e-05,2.826665408381359885e+05,4.952277151811689038e+01
9.379579872984855659e-05,2.827247546474271803e+05,4.964111125270780889e+01
9.428431851489984671e-05,2.827838749877408845e+05,4.976003625182984536e+01
9.477283829995115038e-05,2.828439109578712378e+05,4.987954568603370831e+01
9.526135808500244050e-05,2.829048716926734778e+05,4.999963871409463678e+01
9.574987787005373062e-05,2.829667663627910079e+05,5.012031448293253533e+01
9.623839765510503429e-05,2.830296041743794922e+05,5.024157212753281243e+01
9.672691744015632441e-05,2.830933943688276922e+05,5.036341077086810714e+01
9.721543722520761452e-05,2.831581462224747520e+05,5.048582952382076883e+01
9.770395701025891820e-05,2.832238690463237581e+05,5.060882748510629625e+01
9.819247679531020831e-05,2.832905721857523895e+05,5.073240374119760077e+01
9.868099658036149843e-05,2.833582650202202494e+05,5.085655736625021461e+01
9.916951636541280210e-05,2.834269569629716570e+05,5.098128742202845132e+01
9.965803615046409222e-05,2.834966574607368093e+05,5.110659295783248979e+01
1.001465559355153823e-04,2.835673759934279369e+05,5.123247301042651713e+01
1.006350757205666860e-04,2.836391220738330740e+05,5.135892660396782361e+01
1.011235955056179761e-04,2.837119052473058109e+05,5.148595274993702731e+01
1.016121152906692662e-04,2.837857350914521376e+05,5.161355044706925099e+01
1.021006350757205699e-04,2.838606212158132112e+05,5.174171868128653529e+01
1.025891548607718600e-04,2.839365732615456218e+05,5.187045642563128922e+01
1.030776746458231502e-04,2.840136009010973503e+05,5.199976264020090611e+01
1.035661944308744538e-04,2.840917138378811069e+05,5.212963627208355888e+01
1.040547142159257439e-04,2.841709218059437117e+05,5.226007625529523182e+01
1.045432340009770341e-04,2.842512345696320408e+05,5.239108151071794595e+01
1.050317537860283377e-04,2.843326619232566445e+05,5.252265094603923501e+01
1.055202735710796279e-04,2.844152136907504173e+05,5.265478345569295726e+01
1.060087933561309180e-04,2.844988997253252310e+05,5.278747792080134360e+01
1.064973131411822216e-04,2.845837299091246095e+05,5.292073320911847389e+01
1.069858329262335118e-04,2.846697141528730281e+05,5.305454817497501097e+01
1.074743527112848019e-04,2.847568623955223011e+05,5.318892165922440540e+01
1.079628724963361056e-04,2.848451846038941876e+05,5.332385248919047882e+01
1.084513922813873957e-04,2.849346907723201439e+05,5.345933947861646374e+01
1.089399120664386858e-04,2.850253909222775837e+05,5.359538142761552137e+01
1.094284318514899895e-04,2.851172951020227629e+05,5.373197712262268766e+01
1.099169516365412796e-04,2.852104133862206363e+05,5.386912533634844635e+01
1.104054714215925697e-04,2.853047558755713981e+05,5.400682482773375170e+01
1.108939912066438598e-04,2.854003326964340522e+05,5.414507434190667112e+01
1.113825109916951635e-04,2.854971540004464332e+05,5.428387261014065501e+01
1.118710307767464536e-04,2.855952299641420250e+05,5.442321834981434137e+01
1.123595505617977437e-04,2.856945707885643351e+05,5.456311026437307987e+01
1.128480703468490474e-04,2.857951866988772526e+05,5.470354704329210449e+01
1.133365901319003375e-04,2.858970879439730779e+05,5.484452736204144685e+01
1.138251099169516276e-04,2.860002847960770596e+05,5.498604988205248389e+01
1.143136297020029313e-04,2.861047875503487885e+05,5.512811325068632584e+01
1.148021494870542214e-04,2.862106065244812635e+05,5.527071610120393075e+01
1.152906692721055115e-04,2.863177520582962898e+05,5.541385705273803097e+01
1.157791890571568152e-04,2.864262345133372000e+05,5.555753471026685020e+01
1.162677088422081053e-04,2.865360642724583740e+05,5.570174766458975313e+01
1.167562286272593955e-04,2.866472517394128372e+05,5.584649449230465734e+01
1.172447484123106991e-04,2.867598073384355521e+05,5.599177375578739202e+01
1.177332681973619892e-04,2.868737415138253127e+05,5.613758400317298225e+01
1.182217879824132794e-04,2.869890647295229719e+05,5.628392376833888022e+01
1.187103077674645830e-04,2.871057874686871655e+05,5.643079157089007225e+01
1.191988275525158732e-04,2.872239202332674176e+05,5.657818591614629611e+01
1.196873473375671633e-04,2.873434735435746843e+05,5.672610529513119104e+01
1.201758671226184669e-04,2.874644579378489289e+05,5.687454818456343730e+01
1.206643869076697571e-04,2.875868839718245436e+05,5.702351304685006994e+01
1.211529066927210472e-04,2.877107622182927444e+05,5.717299833008175369e+01
1.216414264777723508e-04,2.878361032666623360e+05,5.732300246803013266e+01
1.221299462628236410e-04,2.879629177225169842e+05,5.747352388014743951e+01
1.226184660478749446e-04,2.880912162071705679e+05,5.762456097156805157e+01
1.231069858329262212e-04,2.882210093572204350e+05,5.777611213311230642e+01
1.235955056179775249e-04,2.883523078240980976e+05,5.792817574129249891e+01
1.240840254030288285e-04,2.884851222736176569e+05,5.808075015832095289e+01
1.245725451880801051e-04,2.886194633855220745e+05,5.823383373212041647e+01
1.250610649731314088e-04,2.887553418530271156e+05,5.838742479633666704e+01
1.255495847581827125e-04,2.888927683823638945e+05,5.854152167035326215e+01
1.260381045432339890e-04,2.890317536923182779e+05,5.869612265930864226e+01
1.265266243282852927e-04,2.891723085137694143e+05,5.885122605411546459e+01
1.270151441133365964e-04,2.893144435892252368e+05,5.900683013148225342e+01
1.275036638983878729e-04,2.894581696723574423e+05,5.916293315393735242e+01
1.279921836834391766e-04,2.896034975275330362e+05,5.931953336985511527e+01
1.284807034684904803e-04,2.897504379293458769e+05,5.947662901348454056e+01
1.289692232535417568e-04,2.898990016621446703e+05,5.963421830498023724e+01
1.294577430385930605e-04,2.900491995195613126e+05,5.979229945043564953e+01
1.299462628236443642e-04,2.902010423040358000e+05,5.995087064191878312e+01
1.304347826086956407e-04,2.903545408263410209e+05,6.010993005751019780e+01
1.309233023937469444e-04,2.905097059051051619e+05,6.026947586134348001e+01
1.314118221787982481e-04,2.906665483663337072e+05,6.042950620364814540e+01
1.319003419638495247e-04,2.908250790429291083e+05,6.059001922079480096e+01
1.323888617489008283e-04,2.909853087742096395e+05,6.075101303534290764e+01
1.328773815339521320e-04,2.911472484054278466e+05,6.091248575609088078e+01
1.333659013190034086e-04,2.913109087872862001e+05,6.107443547812864892e+01
1.338544211040547122e-04,2.914763007754533319e+05,6.123686028289269245e+01
1.343429408891060159e-04,2.916434352300785831e+05,6.139975823822347678e+01
1.348314606741572925e-04,2.918123230153056211e+05,6.156312739842543635e+01
1.353199804592085961e-04,2.919829749987856485e+05,6.172696580432931768e+01
1.358085002442598998e-04,2.921554020511890412e+05,6.189127148335708029e+01
1.362970200293111764e-04,2.923296150457175681e+05,6.205604244958922067e+01
1.367855398143624801e-04,2.925056248576152720e+05,6.222127670383465414e+01
1.372740595994137837e-04,2.926834423636784195e+05,6.238697223370294864e+01
1.377625793844650603e-04,2.928630784417660907e+05,6.255312701367917327e+01
1.382510991695163640e-04,2.930445439703091979e+05,6.271973900520114142e+01
1.387396189545676676e-04,2.932278498278208426e+05,6.288680615673918339e+01
1.392281387396189442e-04,2.934130068924043444e+05,6.305432640387841303e+01
1.397166585246702479e-04,2.936000260412632488e+05,6.322229766940341733e+01
1.402051783097215515e-04,2.937889181502099964e+05,6.339071786338547554e+01
1.406936980947728281e-04,2.939796940931748832e+05,6.355958488327225808e+01
1.411822178798241318e-04,2.941723647417156608e+05,6.372889661398002659e+01
1.416707376648754354e-04,2.943669409645267297e+05,6.389865092798822843e+01
1.421592574499267120e-04,2.945634336269488558e+05,6.406884568543654268e+01
1.426477772349780157e-04,2.947618535904794699e+05,6.423947873422456212e+01
1.431362970200293194e-04,2.949622117122829659e+05,6.441054791011372060e+01
1.436248168050805959e-04,2.951645188447020482e+05,6.458205103683179971e+01
1.441133365901318996e-04,2.953687858347696019e+05,6.475398592617976590e+01
1.446018563751832033e-04,2.955750235237210291e+05,6.492635037814116572e+01
1.450903761602344798e-04,2.957832427465076325e+05,6.509914218099380889e+01
1.455788959452857835e-04,2.959934543313106988e+05,6.527235911142399516e+01
1.460674157303370872e-04,2.962056690990570933e+05,6.544599893464295803e+01
1.465559355153883637e-04,2.964198978629349731e+05,6.562005940450588071e+01
1.470444553004396674e-04,2.966361514279116527e+05,6.579453826363317148e+01
1.475329750854909711e-04,2.968544405902524013e+05,6.596943324353412663e+01
1.480214948705422476e-04,2.970747761370399385e+05,6.614474206473288120e+01
1.485100146555935513e-04,2.972971688456965494e+05,6.632046243689683251e+01
1.489985344406448550e-04,2.975216294835066656e+05,6.649659205896718106e+01
1.494870542256961316e-04,2.977481688071416575e+05,6.667312861929190149e+01
1.499755740107474352e-04,2.979767975621861988e+05,6.685006979576094466e+01
1.504640937957987389e-04,2.982075264826660859e+05,6.702741325594368504e+01
1.509526135808500155e-04,2.984403662905789097e+05,6.720515665722861343e+01
1.514411333659013191e-04,2.986753276954250759e+05,6.738329764696523227e+01
1.519296531509526228e-04,2.989124213937423192e+05,6.756183386260818224e+01
1.524181729360038994e-04,2.991516580686423695e+05,6.774076293186350028e+01
1.529066927210552030e-04,2.993930483893482597e+05,6.792008247283699518e+01
1.533952125061065067e-04,2.996366030107363476e+05,6.809979009418489682e+01
1.538837322911577833e-04,2.998823325728783384e+05,6.827988339526635286e+01
1.543722520762090870e-04,3.001302477005881374e+05,6.846035996629829867e+01
1.548607718612603906e-04,3.003803590029692859e+05,6.864121738851210353e+01
1.553492916463116672e-04,3.006326770729663549e+05,6.882245323431240536e+01
1.558378114313629709e-04,3.008872124869188410e+05,6.900406506743790658e+01
1.563263312164142474e-04,3.011439758041172754e+05,6.918605044312408836e+01
1.568148510014655511e-04,3.014029775663636974e+05,6.936840690826788602e+01
1.573033707865168548e-04,3.016642282975338749e+05,6.955113200159432552e+01
1.577918905715681313e-04,3.019277385031433078e+05,6.973422325382490783e+01
1.582804103566194350e-04,3.021935186699160258e+05,6.991767818784801136e+01
1.587689301416707387e-04,3.024615792653572280e+05,7.010149431889088589e+01
1.592574499267220152e-04,3.027319307373292977e+05,7.028566915469366450e+01
1.597459697117733189e-04,3.030045835136302048e+05,7.047020019568493865e+01
1.602344894968246226e-04,3.032795480015779031e+05,7.065508493515912392e+01
1.607230092818758992e-04,3.035568345875951927e+05,7.084032085945548829e+01
1.612115290669272028e-04,3.038364536368013360e+05,7.102590544813882900e+01
1.617000488519785065e-04,3.041184154926054762e+05,7.121183617418171252e+01
1.621885686370297831e-04,3.044027304763050051e+05,7.139811050414833460e+01
1.626770884220810867e-04,3.046894088866872480e+05,7.158472589837988664e+01
1.631656082071323904e-04,3.049784609996361542e+05,7.177167981118145690e+01
1.636541279921836670e-04,3.052698970677423058e+05,7.195896969101021057e+01
1.641426477772349706e-04,3.055637273199174087e+05,7.214659298066527526e+01
1.646311675622862743e-04,3.058599619610131485e+05,7.233454711747874910e+01
1.651196873473375509e-04,3.061586111714448780e+05,7.252282953350811567e+01
1.656082071323888546e-04,3.064596851068193791e+05,7.271143765573008011e+01
1.660967269174401582e-04,3.067631938975664671e+05,7.290036890623534305e+01
1.665852467024914348e-04,3.070691476485772291e+05,7.308962070242500886e+01
1.670737664875427385e-04,3.073775564388445346e+05,7.327919045720778968e+01
1.675622862725940421e-04,3.076884303211104707e+05,7.346907557919850262e+01
1.680508060576453187e-04,3.080017793215172132e+05,7.365927347291763283e+01
1.685393258426966224e-04,3.083176134392637759e+05,7.384978153899191966e+01
1.690278456277479260e-04,3.086359426462671836e+05,7.404059717435596610e+01
1.695163654127992026e-04,3.089567768868284184e+05,7.423171777245465819e+01
1.700048851978505063e-04,3.092801260773051181e+05,7.442314072344672127e+01
1.704934049829018099e-04,3.096060001057874179e+05,7.461486341440888737e+01
1.709819247679530865e-04,3.099344088317808346e+05,7.480688322954107150e+01
1.714704445530043902e-04,3.102653620858927607e+05,7.499919755037214486e+01
1.719589643380556939e-04,3.105988696695264080e+05,7.519180375596657484e+01
1.724474841231069704e-04,3.109349413545788266e+05,7.538469922313163352e+01
1.729360039081582741e-04,3.112735868831445114e+05,7.557788132662524561e+01
1.734245236932095778e-04,3.116148159672252950e+05,7.577134743936447592e+01
1.739130434782608543e-04,3.119586382884460036e+05,7.596509493263441470e+01
1.744015632633121580e-04,3.123050634977743030e+05,7.615912117629773093e+01
1.748900830483634617e-04,3.126541012152483454e+05,7.635342353900446710e+01
1.753786028334147382e-04,3.130057610297093051e+05,7.654799938840233153e+01
1.758671226184660419e-04,3.133600524985395023e+05,7.674284609134730317e+01
1.763556424035173456e-04,3.137169851474072202e+05,7.693796101411452071e+01
1.768441621885686221e-04,3.140765684700166457e+05,7.713334152260937060e+01
1.773326819736199258e-04,3.144388119278649101e+05,7.732898498257885933e+01
1.778212017586712295e-04,3.148037249500046019e+05,7.752488875982302829e+01
