strand,ring,x_m,y_m,I_amplitude_A,I_phase_deg
1.210000000000000000e+02,6.000000000000000000e+00,4.499999999999993914e-04,-7.794228634059951295e-04,1.241384080917782434e-02,1.641915628641980902e+02
1.220000000000000000e+02,6.000000000000000000e+00,5.785088487178852894e-04,-6.894399988070802534e-04,1.242348195134600729e-02,1.641770322019200705e+02
1.230000000000000000e+02,6.000000000000000000e+00,6.894399988070800366e-04,-5.785088487178856147e-04,1.244268418380537443e-02,1.641482265410615753e+02
1.240000000000000000e+02,6.000000000000000000e+00,7.794228634059949127e-04,-4.499999999999996624e-04,1.245221730108033581e-02,1.641340030738101063e+02
1.250000000000000000e+02,6.000000000000000000e+00,8.457233587073175862e-04,-3.078181289931017492e-04,1.244267746184562345e-02,1.641484084950796216e+02
1.260000000000000000e+02,6.000000000000000000e+00,8.863269777109871470e-04,-1.562833599002373328e-04,1.242345544068288246e-02,1.641772591501404293e+02
1.270000000000000000e+02,7.000000000000000000e+00,1.049999999999999935e-03,0.000000000000000000e+00,2.614943384477835808e-02,1.173582994447218368e+02
1.280000000000000000e+02,7.000000000000000000e+00,1.038272367536384813e-03,1.564943794849831470e-04,2.616251078083655507e-02,1.173522278175541800e+02
1.290000000000000000e+02,7.000000000000000000e+00,1.003351446075447613e-03,3.094929331314494130e-04,2.619172478008100977e-02,1.173387083629443737e+02
1.300000000000000000e+02,7.000000000000000000e+00,9.460173112975399975e-04,4.555779260734360136e-04,2.621499098836970951e-02,1.173279773322414741e+02
1.310000000000000000e+02,7.000000000000000000e+00,8.675507130317945508e-04,5.914860609668031203e-04,2.621496516993533296e-02,1.173279544391187130e+02
1.320000000000000000e+02,7.000000000000000000e+00,7.697044654213176578e-04,7.141813746594652748e-04,2.619166132623185900e-02,1.173386522292347252e+02
1.330000000000000000e+02,7.000000000000000000e+00,6.546642919516702016e-04,8.209230565914312893e-04,2.616244806029161332e-02,1.173521616307178022e+02
1.340000000000000000e+02,7.000000000000000000e+00,5.250000000000000760e-04,9.093266739736604242e-04,2.614942147297683039e-02,1.173582310331902363e+02
1.350000000000000000e+02,7.000000000000000000e+00,3.836080755847147200e-04,9.774174360764143008e-04,2.616256663298146060e-02,1.173521934317330704e+02
1.360000000000000000e+02,7.000000000000000000e+00,2.336469806541301446e-04,1.023674307790914742e-03,2.619186548187332417e-02,1.173387083064420722e+02
1.370000000000000000e+02,7.000000000000000000e+00,7.846659826574560936e-05,1.047063987040239025e-03,2.621519571732562615e-02,1.173280160893961721e+02
1.380000000000000000e+02,7.000000000000000000e+00,-7.846659826574524344e-05,1.047063987040239025e-03,2.621518334005509127e-02,1.173280331249046640e+02
1.390000000000000000e+02,7.000000000000000000e+00,-2.336469806541300361e-04,1.023674307790914742e-03,2.619183542398679024e-02,1.173387600432585884e+02
1.400000000000000000e+02,7.000000000000000000e+00,-3.836080755847148284e-04,9.774174360764143008e-04,2.616253506440223767e-02,1.173522689410581279e+02
1.410000000000000000e+02,7.000000000000000000e+00,-5.249999999999997507e-04,9.093266739736605327e-04,2.614940845281327891e-02,1.173582982290597272e+02
1.420000000000000000e+02,7.000000000000000000e+00,-6.546642919516700932e-04,8.209230565914313977e-04,2.616247465852327911e-02,1.173521958832897099e+02
