r_m,J_amplitude
2.406015037593984900e-04,1.359933056922109826e-05
2.431077694235588850e-04,1.359933056922109826e-05
2.456140350877193072e-04,1.359933056922109826e-05
2.481203007518796751e-04,1.359933056922109826e-05
2.506265664160400972e-04,1.359933056922109826e-05
2.531328320802005193e-04,1.359933056922109826e-05
2.556390977443608872e-04,1.359933056922109826e-05
2.581453634085213093e-04,1.359933056922109826e-05
2.606516290726816772e-04,1.359933056922109826e-05
2.631578947368420993e-04,1.359933056922109826e-05
2.656641604010025214e-04,1.359933056922109826e-05
2.681704260651628893e-04,1.359933056922109826e-05
2.706766917293233115e-04,1.359933056922109826e-05
2.731829573934836794e-04,1.359933056922109826e-05
2.756892230576441015e-04,1.359933056922109826e-05
2.781954887218045236e-04,1.359933056922109826e-05
2.807017543859648915e-04,1.359933056922109826e-05
2.832080200501253136e-04,1.359933056922109826e-05
2.857142857142856815e-04,1.359933056922109826e-05
2.882205513784461036e-04,1.359933056922109826e-05
2.907268170426065257e-04,1.359933056922109826e-05
2.932330827067668936e-04,1.359933056922109826e-05
2.957393483709273158e-04,1.359933056922109826e-05
2.982456140350877379e-04,1.359933056922109826e-05
3.007518796992481058e-04,1.359933056922109826e-05
3.032581453634085279e-04,1.359933056922109826e-05
3.057644110275688958e-04,1.359933056922109826e-05
3.082706766917293179e-04,1.359933056922109826e-05
3.107769423558897400e-04,1.359933056922109826e-05
3.132832080200501079e-04,1.359933056922109826e-05
3.157894736842105300e-04,1.359933056922109826e-05
3.182957393483708979e-04,1.359933056922109826e-05
3.208020050125313201e-04,1.359933056922109826e-05
3.233082706766917422e-04,1.359933056922109826e-05
3.258145363408521101e-04,1.359933056922109826e-05
3.283208020050125322e-04,1.359933056922109826e-05
3.308270676691729001e-04,1.359933056922109826e-05
3.333333333333333222e-04,1.359933056922109826e-05
3.358395989974937443e-04,1.359933056922109826e-05
3.383458646616541122e-04,1.359933056922109826e-05
3.408521303258145343e-04,1.359933056922109826e-05
3.433583959899749022e-04,1.359933056922109826e-05
3.458646616541353244e-04,1.359933056922109826e-05
3.483709273182957465e-04,1.359933056922109826e-05
3.508771929824561144e-04,1.359933056922109826e-05
3.533834586466165365e-04,1.359933056922109826e-05
3.558897243107769586e-04,1.359933056922109826e-05
3.583959899749373265e-04,1.359933056922109826e-05
3.609022556390977486e-04,1.359933056922109826e-05
3.634085213032581165e-04,1.359933056922109826e-05
3.659147869674185386e-04,1.359933056922109826e-05
3.684210526315789607e-04,1.359933056922109826e-05
3.709273182957393286e-04,1.359933056922109826e-05
3.734335839598997508e-04,1.359933056922109826e-05
3.759398496240601187e-04,1.359933056922109826e-05
3.784461152882205408e-04,1.359933056922109826e-05
3.809523809523809629e-04,1.359933056922109826e-05
3.834586466165413308e-04,1.359933056922109826e-05
3.859649122807017529e-04,1.359933056922109826e-05
3.884711779448621208e-04,1.359933056922109826e-05
3.909774436090225429e-04,1.359933056922109826e-05
3.934837092731829650e-04,1.359933056922109826e-05
3.959899749373433329e-04,1.359933056922109826e-05
3.984962406015037551e-04,1.359933056922109826e-05
4.010025062656641772e-04,1.359933056922109826e-05
4.035087719298245451e-04,1.359933056922109826e-05
4.060150375939849672e-04,1.359933056922109826e-05
4.085213032581453351e-04,1.359933056922109826e-05
4.110275689223057572e-04,1.359933056922109826e-05
4.135338345864661793e-04,1.359933056922109826e-05
4.160401002506265472e-04,1.359933056922109826e-05
4.185463659147869693e-04,1.359933056922109826e-05
4.210526315789473372e-04,1.359933056922109826e-05
4.235588972431077594e-04,1.359933056922109826e-05
4.260651629072681815e-04,1.359933056922109826e-05
4.285714285714285494e-04,1.359933056922109826e-05
4.310776942355889715e-04,1.359933056922109826e-05
4.335839598997493394e-04,1.359933056922109826e-05
4.360902255639097615e-04,1.359933056922109826e-05
4.385964912280701836e-04,1.359933056922109826e-05
4.411027568922305515e-04,1.359933056922109826e-05
4.436090225563909736e-04,1.359933056922109826e-05
4.461152882205513415e-04,1.359933056922109826e-05
4.486215538847117637e-04,1.359933056922109826e-05
4.511278195488721858e-04,1.359933056922109826e-05
4.536340852130325537e-04,1.359933056922109826e-05
4.561403508771929758e-04,1.359933056922109826e-05
4.586466165413533979e-04,1.359933056922109826e-05
4.611528822055137658e-04,1.359933056922109826e-05
4.636591478696741879e-04,1.359933056922109826e-05
4.661654135338345558e-04,1.359933056922109826e-05
4.686716791979949779e-04,1.359933056922109826e-05
4.711779448621554000e-04,1.359933056922109826e-05
4.736842105263157679e-04,1.359933056922109826e-05
4.761904761904761901e-04,1.359933056922109826e-05
4.786967418546365580e-04,1.359933056922109826e-05
4.812030075187969801e-04,1.359933056922109826e-05
4.837092731829574022e-04,1.359933056922109826e-05
4.862155388471177701e-04,1.359933056922109826e-05
4.887218045112781380e-04,1.359933056922109826e-05
4.912280701754386143e-04,1.359933056922109826e-05
4.937343358395989822e-04,1.359933056922109826e-05
4.962406015037593501e-04,1.359933056922109826e-05
4.987468671679198265e-04,1.359933056922109826e-05
5.012531328320801944e-04,1.359933056922109826e-05
5.037593984962405623e-04,1.359933056922109826e-05
5.062656641604010386e-04,1.359933056922109826e-05
5.087719298245614065e-04,1.359933056922109826e-05
5.112781954887217744e-04,1.359933056922109826e-05
5.137844611528821423e-04,1.359933056922109826e-05
5.162907268170426186e-04,1.359933056922109826e-05
5.187969924812029865e-04,1.359933056922109826e-05
5.213032581453633544e-04,1.359933056922109826e-05
5.238095238095238308e-04,1.359933056922109826e-05
5.263157894736841987e-04,1.359933056922109826e-05
5.288220551378445666e-04,1.359933056922109826e-05
5.313283208020050429e-04,1.359933056922109826e-05
5.338345864661654108e-04,1.359933056922109826e-05
5.363408521303257787e-04,1.359933056922109826e-05
5.388471177944862550e-04,1.359933056922109826e-05
5.413533834586466229e-04,1.359933056922109826e-05
5.438596491228069908e-04,1.359933056922109826e-05
5.463659147869673587e-04,1.359933056922109826e-05
5.488721804511278351e-04,1.359933056922109826e-05
5.513784461152882030e-04,1.359933056922109826e-05
5.538847117794485709e-04,1.359933056922109826e-05
5.563909774436090472e-04,1.359933056922109826e-05
5.588972431077694151e-04,1.359933056922109826e-05
5.614035087719297830e-04,1.359933056922109826e-05
5.639097744360902593e-04,1.359933056922109826e-05
5.664160401002506272e-04,1.359933056922109826e-05
5.689223057644109951e-04,1.359933056922109826e-05
5.714285714285713630e-04,1.359933056922109826e-05
5.739348370927318393e-04,1.359933056922109826e-05
5.764411027568922073e-04,1.359933056922109826e-05
5.789473684210525752e-04,1.359933056922109826e-05
5.814536340852130515e-04,1.359933056922109826e-05
5.839598997493734194e-04,1.359933056922109826e-05
5.864661654135337873e-04,1.359933056922109826e-05
5.889724310776942636e-04,1.359933056922109826e-05
5.914786967418546315e-04,1.359933056922109826e-05
5.939849624060149994e-04,1.359933056922109826e-05
5.964912280701754757e-04,1.359933056922109826e-05
5.989974937343358436e-04,1.359933056922109826e-05
6.015037593984962115e-04,1.359933056922109826e-05
6.040100250626565795e-04,1.359933056922109826e-05
6.065162907268170558e-04,1.359933056922109826e-05
6.090225563909774237e-04,1.359933056922109826e-05
6.115288220551377916e-04,1.359933056922109826e-05
6.140350877192982679e-04,1.359933056922109826e-05
6.165413533834586358e-04,1.359933056922109826e-05
6.190476190476190037e-04,1.359933056922109826e-05
6.215538847117794800e-04,1.359933056922109826e-05
6.240601503759398479e-04,1.359933056922109826e-05
6.265664160401002158e-04,1.359933056922109826e-05
6.290726817042605837e-04,1.359933056922109826e-05
6.315789473684210601e-04,1.359933056922109826e-05
