r_m,FD_J,exact_J
1.309233023937469444e-04,2.905097059051051619e+05,2.900649602899681195e+05
1.314118221787982481e-04,2.906665483663337072e+05,2.902215611443036469e+05
1.319003419638495247e-04,2.908250790429291083e+05,2.903798476256320137e+05
1.323888617489008283e-04,2.909853087742096395e+05,2.905398305566983181e+05
1.328773815339521320e-04,2.911472484054278466e+05,2.907015207661723252e+05
1.333659013190034086e-04,2.913109087872862001e+05,2.908649290881659836e+05
1.338544211040547122e-04,2.914763007754533319e+05,2.910300663617495447e+05
1.343429408891060159e-04,2.916434352300785831e+05,2.911969434304671013e+05
1.348314606741572925e-04,2.918123230153056211e+05,2.913655711418511928e+05
1.353199804592085961e-04,2.919829749987856485e+05,2.915359603469362482e+05
1.358085002442598998e-04,2.921554020511890412e+05,2.917081218997715041e+05
1.362970200293111764e-04,2.923296150457175681e+05,2.918820666569339810e+05
1.367855398143624801e-04,2.925056248576152720e+05,2.920578054770390736e+05
1.372740595994137837e-04,2.926834423636784195e+05,2.922353492202526540e+05
1.377625793844650603e-04,2.928630784417660907e+05,2.924147087478016037e+05
1.382510991695163640e-04,2.930445439703091979e+05,2.925958949214840541e+05
1.387396189545676676e-04,2.932278498278208426e+05,2.927789186031793943e+05
1.392281387396189442e-04,2.934130068924043444e+05,2.929637906543590361e+05
1.397166585246702479e-04,2.936000260412632488e+05,2.931505219355949666e+05
1.402051783097215515e-04,2.937889181502099964e+05,2.933391233060706872e+05
1.406936980947728281e-04,2.939796940931748832e+05,2.935296056230904069e+05
1.411822178798241318e-04,2.941723647417156608e+05,2.937219797415892826e+05
1.416707376648754354e-04,2.943669409645267297e+05,2.939162565136436024e+05
1.421592574499267120e-04,2.945634336269488558e+05,2.941124467879809090e+05
1.426477772349780157e-04,2.947618535904794699e+05,2.943105614094914054e+05
1.431362970200293194e-04,2.949622117122829659e+05,2.945106112187390681e+05
1.436248168050805959e-04,2.951645188447020482e+05,2.947126070514734020e+05
1.441133365901318996e-04,2.953687858347696019e+05,2.949165597381421248e+05
1.446018563751832033e-04,2.955750235237210291e+05,2.951224801034042030e+05
1.450903761602344798e-04,2.957832427465076325e+05,2.953303789656442823e+05
1.455788959452857835e-04,2.959934543313106988e+05,2.955402671364873531e+05
1.460674157303370872e-04,2.962056690990570933e+05,2.957521554203148116e+05
1.465559355153883637e-04,2.964198978629349731e+05,2.959660546137814526e+05
1.470444553004396674e-04,2.966361514279116527e+05,2.961819755053336266e+05
1.475329750854909711e-04,2.968544405902524013e+05,2.963999288747287355e+05
1.480214948705422476e-04,2.970747761370399385e+05,2.966199254925558926e+05
1.485100146555935513e-04,2.972971688456965494e+05,2.968419761197584448e+05
1.489985344406448550e-04,2.975216294835066656e+05,2.970660915071571362e+05
1.494870542256961316e-04,2.977481688071416575e+05,2.972922823949762387e+05
1.499755740107474352e-04,2.979767975621861988e+05,2.975205595123698586e+05
1.504640937957987389e-04,2.982075264826660859e+05,2.977509335769510362e+05
1.509526135808500155e-04,2.984403662905789097e+05,2.979834152943226509e+05
1.514411333659013191e-04,2.986753276954250759e+05,2.982180153576097800e+05
1.519296531509526228e-04,2.989124213937423192e+05,2.984547444469946786e+05
1.524181729360038994e-04,2.991516580686423695e+05,2.986936132292536204e+05
1.529066927210552030e-04,2.993930483893482597e+05,2.989346323572958936e+05
1.533952125061065067e-04,2.996366030107363476e+05,2.991778124697054736e+05
1.538837322911577833e-04,2.998823325728783384e+05,2.994231641902849078e+05
1.543722520762090870e-04,3.001302477005881374e+05,2.996706981276012375e+05
1.548607718612603906e-04,3.003803590029692859e+05,2.999204248745360528e+05
1.553492916463116672e-04,3.006326770729663549e+05,3.001723550078360131e+05
1.558378114313629709e-04,3.008872124869188410e+05,3.004264990876680240e+05
1.563263312164142474e-04,3.011439758041172754e+05,3.006828676571763935e+05
1.568148510014655511e-04,3.014029775663636974e+05,3.009414712420435390e+05
1.573033707865168548e-04,3.016642282975338749e+05,3.012023203500524978e+05
1.577918905715681313e-04,3.019277385031433078e+05,3.014654254706542124e+05
1.582804103566194350e-04,3.021935186699160258e+05,3.017307970745369093e+05
1.587689301416707387e-04,3.024615792653572280e+05,3.019984456131994375e+05
1.592574499267220152e-04,3.027319307373292977e+05,3.022683815185271087e+05
1.597459697117733189e-04,3.030045835136302048e+05,3.025406152023724280e+05
1.602344894968246226e-04,3.032795480015779031e+05,3.028151570561379776e+05
1.607230092818758992e-04,3.035568345875951927e+05,3.030920174503639573e+05
1.612115290669272028e-04,3.038364536368013360e+05,3.033712067343188683e+05
1.617000488519785065e-04,3.041184154926054762e+05,3.036527352355945623e+05
1.621885686370297831e-04,3.044027304763050051e+05,3.039366132597045507e+05
1.626770884220810867e-04,3.046894088866872480e+05,3.042228510896867374e+05
1.631656082071323904e-04,3.049784609996361542e+05,3.045114589857106330e+05
